id_canal,st_titulo,dh_inicio,dh_fim,id_programa,titulo
483,a_mumia_tumba_do_imperador_dragao,2018-08-05T21:00Z,2018-08-05T23:00Z,448596,A Múmia - Tumba do Imperador Dragão
483,macgyver,2018-08-05T23:00Z,2018-08-05T23:55Z,663464,Macgyver
483,lucifer,2018-08-05T23:55Z,2018-08-06T00:50Z,663459,Lucifer
483,macgyver,2018-08-06T00:50Z,2018-08-06T01:45Z,652982,MacGyver
483,macgyver,2018-08-06T01:45Z,2018-08-06T02:40Z,658595,Macgyver
483,macgyver,2018-08-06T02:40Z,2018-08-06T03:35Z,658596,Macgyver
483,macgyver,2018-08-06T03:35Z,2018-08-06T04:30Z,658597,Macgyver
483,macgyver,2018-08-06T04:30Z,2018-08-06T05:25Z,658598,Macgyver
483,cinelab,2018-08-06T05:25Z,2018-08-06T06:05Z,446082,Cinelab
483,macgyver,2018-08-06T06:05Z,2018-08-06T07:00Z,663464,Macgyver
483,infomercial,2018-08-06T07:00Z,2018-08-06T08:15Z,373082,Infomercial
483,it_takes_a_killer,2018-08-06T08:15Z,2018-08-06T08:45Z,626785,It Takes A Killer
483,law_order_svu,2018-08-06T08:45Z,2018-08-06T09:40Z,167210,Law & Order SVU
483,law_order_svu,2018-08-06T09:40Z,2018-08-06T10:35Z,167211,Law & Order SVU
483,law_order_svu,2018-08-06T10:35Z,2018-08-06T11:30Z,160875,Law & Order SVU
483,house,2018-08-06T11:30Z,2018-08-06T12:25Z,258929,House
483,shades_of_blue,2018-08-06T12:25Z,2018-08-06T13:20Z,590238,Shades of Blue
483,missao_impossivel_3,2018-08-06T13:20Z,2018-08-06T15:35Z,123141,Missão Impossível 3
483,lucifer,2018-08-06T15:35Z,2018-08-06T16:30Z,606581,Lucifer
483,lucifer,2018-08-06T16:30Z,2018-08-06T17:25Z,606582,Lucifer
483,lucifer,2018-08-06T17:25Z,2018-08-06T18:20Z,612785,Lucifer
483,conselho_tutelar,2018-08-06T18:20Z,2018-08-06T19:20Z,663452,Conselho Tutelar
483,chicago_pd,2018-08-06T19:20Z,2018-08-06T20:15Z,467325,Chicago P.D.
483,chicago_pd,2018-08-06T20:15Z,2018-08-06T21:10Z,474202,Chicago P.D.
483,chicago_pd,2018-08-06T21:10Z,2018-08-06T22:05Z,474204,Chicago P.D.
483,chicago_fire,2018-08-06T22:05Z,2018-08-06T23:00Z,626778,Chicago Fire
483,chicago_med,2018-08-06T23:00Z,2018-08-06T23:55Z,637923,Chicago Med
483,shades_of_blue,2018-08-06T23:55Z,2018-08-07T00:50Z,590238,Shades of Blue
483,law_order_svu,2018-08-07T00:50Z,2018-08-07T01:45Z,408708,Law & Order SVU
483,house,2018-08-07T01:45Z,2018-08-07T02:40Z,258929,House
483,missao_impossivel_3,2018-08-07T02:40Z,2018-08-07T05:10Z,123141,Missão Impossível 3
483,law_order_svu,2018-08-07T05:10Z,2018-08-07T06:05Z,408708,Law & Order SVU
483,house,2018-08-07T06:05Z,2018-08-07T07:00Z,258929,House
483,infomercial,2018-08-07T07:00Z,2018-08-07T08:15Z,373082,Infomercial
483,it_takes_a_killer,2018-08-07T08:15Z,2018-08-07T08:45Z,626786,It Takes A Killer
483,chicago_pd,2018-08-07T08:45Z,2018-08-07T09:40Z,467325,Chicago P.D.
483,chicago_pd,2018-08-07T09:40Z,2018-08-07T10:35Z,474202,Chicago P.D.
483,chicago_pd,2018-08-07T10:35Z,2018-08-07T11:30Z,474204,Chicago P.D.
483,house,2018-08-07T11:30Z,2018-08-07T12:20Z,258930,House
483,shades_of_blue,2018-08-07T12:20Z,2018-08-07T13:15Z,590239,Shades of Blue
483,shades_of_blue,2018-08-07T13:15Z,2018-08-07T14:10Z,590240,Shades of Blue
483,it_takes_a_killer,2018-08-07T14:10Z,2018-08-07T14:40Z,626786,It Takes A Killer
483,o_show_de_truman_o_show_da_vida,2018-08-07T14:40Z,2018-08-07T16:30Z,25528,O Show de Truman: O Show da Vida
483,macgyver,2018-08-07T16:30Z,2018-08-07T17:25Z,617761,Macgyver
483,macgyver,2018-08-07T17:25Z,2018-08-07T18:20Z,617762,Macgyver
483,cinelab,2018-08-07T18:20Z,2018-08-07T18:50Z,588483,Cinelab
483,cinelab,2018-08-07T18:50Z,2018-08-07T19:20Z,588484,Cinelab
483,law_order_svu,2018-08-07T19:20Z,2018-08-07T20:15Z,408708,Law & Order SVU
483,law_order_svu,2018-08-07T20:15Z,2018-08-07T21:10Z,408709,Law & Order SVU
483,law_order_svu,2018-08-07T21:10Z,2018-08-07T22:05Z,408712,Law & Order SVU
483,shades_of_blue,2018-08-07T22:05Z,2018-08-07T23:00Z,663486,Shades of Blue
483,chicago_pd,2018-08-07T23:00Z,2018-08-07T23:55Z,626781,Chicago P.D.
483,shades_of_blue,2018-08-07T23:55Z,2018-08-08T00:50Z,590240,Shades of Blue
483,law_order_svu,2018-08-08T00:50Z,2018-08-08T01:45Z,408709,Law & Order SVU
483,house,2018-08-08T01:45Z,2018-08-08T02:40Z,258930,House
483,filha_do_mal,2018-08-08T02:40Z,2018-08-08T04:05Z,299927,Filha do Mal
483,it_takes_a_killer,2018-08-08T04:05Z,2018-08-08T04:35Z,626786,It Takes A Killer
483,cinelab,2018-08-08T04:35Z,2018-08-08T05:05Z,446076,Cinelab
483,law_order_svu,2018-08-08T05:05Z,2018-08-08T06:05Z,408709,Law & Order SVU
483,house,2018-08-08T06:05Z,2018-08-08T07:00Z,258930,House
483,infomercial,2018-08-08T07:00Z,2018-08-08T08:15Z,373082,Infomercial
483,it_takes_a_killer,2018-08-08T08:15Z,2018-08-08T08:45Z,626788,It Takes A Killer
483,law_order_svu,2018-08-08T08:45Z,2018-08-08T09:40Z,408708,Law & Order SVU
483,law_order_svu,2018-08-08T09:40Z,2018-08-08T10:35Z,408709,Law & Order SVU
483,law_order_svu,2018-08-08T10:35Z,2018-08-08T11:30Z,408712,Law & Order SVU
483,house,2018-08-08T11:30Z,2018-08-08T12:25Z,258934,House
483,chicago_pd,2018-08-08T12:25Z,2018-08-08T13:20Z,543115,Chicago P.D.
483,chicago_pd,2018-08-08T13:20Z,2018-08-08T14:15Z,543116,Chicago P.D.
483,dias_incriveis,2018-08-08T14:15Z,2018-08-08T15:55Z,75283,Dias Incríveis
483,law_order_svu,2018-08-08T15:55Z,2018-08-08T16:50Z,167210,Law & Order SVU
483,law_order_svu,2018-08-08T16:50Z,2018-08-08T17:45Z,167211,Law & Order SVU
483,law_order_svu,2018-08-08T17:45Z,2018-08-08T18:40Z,160875,Law & Order SVU
483,macgyver,2018-08-08T18:40Z,2018-08-08T19:35Z,617761,Macgyver
483,macgyver,2018-08-08T19:35Z,2018-08-08T20:30Z,617762,Macgyver
483,macgyver,2018-08-08T20:30Z,2018-08-08T21:25Z,617763,Macgyver
483,o_homem_com_punhos_de_ferro_2,2018-08-08T21:25Z,2018-08-08T23:00Z,498340,O Homem com Punhos de Ferro 2
483,lucifer,2018-08-08T23:00Z,2018-08-08T23:55Z,663460,Lucifer
483,chicago_pd,2018-08-08T23:55Z,2018-08-09T00:50Z,543115,Chicago P.D.
